Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Régimen y estado;Periodo;Total
Total Nacional;01 Andalucía;;Vivienda usada;2025;104.884
Total Nacional;01 Andalucía;;Vivienda usada;2024;94.149
Total Nacional;01 Andalucía;;Vivienda usada;2023;94.291
Total Nacional;01 Andalucía;;Vivienda usada;2022;108.049
Total Nacional;01 Andalucía;;Vivienda usada;2021;91.470
Total Nacional;01 Andalucía;;Vivienda usada;2020;66.182
Total Nacional;01 Andalucía;;Vivienda usada;2019;81.367
Total Nacional;01 Andalucía;;Vivienda usada;2018;83.271
Total Nacional;01 Andalucía;;Vivienda usada;2017;73.115
Total Nacional;01 Andalucía;;Vivienda usada;2016;64.643
Total Nacional;01 Andalucía;;Vivienda usada;2015;54.285
Total Nacional;01 Andalucía;;Vivienda usada;2014;38.335
Total Nacional;01 Andalucía;;Vivienda usada;2013;32.018
Total Nacional;01 Andalucía;;Vivienda usada;2012;29.494
Total Nacional;01 Andalucía;;Vivienda usada;2011;35.837
Total Nacional;01 Andalucía;;Vivienda usada;2010;38.796
Total Nacional;01 Andalucía;;Vivienda usada;2009;38.031
Total Nacional;01 Andalucía;;Vivienda usada;2008;56.709
Total Nacional;01 Andalucía;;Vivienda usada;2007;85.656
Total Nacional;01 Andalucía;;Vivienda libre;2025;132.185
Total Nacional;01 Andalucía;;Vivienda libre;2024;114.546
Total Nacional;01 Andalucía;;Vivienda libre;2023;107.801
Total Nacional;01 Andalucía;;Vivienda libre;2022;123.446
Total Nacional;01 Andalucía;;Vivienda libre;2021;107.068
Total Nacional;01 Andalucía;;Vivienda libre;2020;75.326
Total Nacional;01 Andalucía;;Vivienda libre;2019;89.958
Total Nacional;01 Andalucía;;Vivienda libre;2018;91.351
Total Nacional;01 Andalucía;;Vivienda libre;2017;80.945
Total Nacional;01 Andalucía;;Vivienda libre;2016;71.689
Total Nacional;01 Andalucía;;Vivienda libre;2015;63.967
Total Nacional;01 Andalucía;;Vivienda libre;2014;58.387
Total Nacional;01 Andalucía;;Vivienda libre;2013;57.940
Total Nacional;01 Andalucía;;Vivienda libre;2012;55.360
Total Nacional;01 Andalucía;;Vivienda libre;2011;63.855
Total Nacional;01 Andalucía;;Vivienda libre;2010;73.835
Total Nacional;01 Andalucía;;Vivienda libre;2009;77.415
Total Nacional;01 Andalucía;;Vivienda libre;2008;108.947
Total Nacional;01 Andalucía;;Vivienda libre;2007;151.222
Total Nacional;01 Andalucía;;Vivienda protegida;2025;11.609
Total Nacional;01 Andalucía;;Vivienda protegida;2024;10.817
Total Nacional;01 Andalucía;;Vivienda protegida;2023;10.168
Total Nacional;01 Andalucía;;Vivienda protegida;2022;11.201
Total Nacional;01 Andalucía;;Vivienda protegida;2021;10.919
Total Nacional;01 Andalucía;;Vivienda protegida;2020;8.155
Total Nacional;01 Andalucía;;Vivienda protegida;2019;10.146
Total Nacional;01 Andalucía;;Vivienda protegida;2018;10.061
Total Nacional;01 Andalucía;;Vivienda protegida;2017;8.662
Total Nacional;01 Andalucía;;Vivienda protegida;2016;7.663
Total Nacional;01 Andalucía;;Vivienda protegida;2015;6.740
Total Nacional;01 Andalucía;;Vivienda protegida;2014;5.582
Total Nacional;01 Andalucía;;Vivienda protegida;2013;6.191
Total Nacional;01 Andalucía;;Vivienda protegida;2012;7.583
Total Nacional;01 Andalucía;;Vivienda protegida;2011;8.898
Total Nacional;01 Andalucía;;Vivienda protegida;2010;9.360
Total Nacional;01 Andalucía;;Vivienda protegida;2009;9.225
Total Nacional;01 Andalucía;;Vivienda protegida;2008;11.251
Total Nacional;01 Andalucía;;Vivienda protegida;2007;16.581
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2025;18.203
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2024;13.895
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2023;14.044
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2022;15.218
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2021;13.469
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2020;9.311
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2019;10.746
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2018;10.563
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2017;8.901
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2016;9.309
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2015;7.305
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2014;6.829
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2013;8.209
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2012;7.461
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2011;9.884
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2010;9.845
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2009;11.026
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2008;14.324
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2007;21.472
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2025;5.158
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2024;3.274
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2023;3.668
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2022;3.788
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2021;3.275
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2020;2.066
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2019;2.636
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2018;2.344
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2017;2.337
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2016;2.170
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2015;2.448
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2014;4.151
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2013;5.713
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2012;5.046
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2011;5.388
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2010;6.738
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2009;7.604
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2008;9.354
Total Nacional;01 Andalucía;04 Almería;Vivienda nueva;2007;11.965
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2025;13.045
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2024;10.621
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2023;10.376
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2022;11.430
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2021;10.194
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2020;7.245
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2019;8.110
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2018;8.219
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2017;6.564
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2016;7.139
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2015;4.857
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2014;2.678
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2013;2.496
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2012;2.415
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2011;4.496
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2010;3.107
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2009;3.422
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2008;4.970
Total Nacional;01 Andalucía;04 Almería;Vivienda usada;2007;9.507
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2025;17.515
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2024;13.153
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2023;13.397
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2022;14.551
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2021;12.813
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2020;8.853
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2019;10.157
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2018;10.072
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2017;8.484
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2016;8.963
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2015;7.049
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2014;6.569
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2013;7.856
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2012;7.067
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2011;9.411
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2010;9.412
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2009;10.704
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2008;13.757
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2007;20.594
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2025;688
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2024;742
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2023;647
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2022;667
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2021;656
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2020;458
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2019;589
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2018;491
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2017;417
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2016;346
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2015;256
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2014;260
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2013;353
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2012;394
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2011;473
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2010;433
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2009;322
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2008;567
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2007;878
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2025;18.538
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2024;16.563
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2023;15.499
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2022;17.784
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2021;16.571
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2020;11.115
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2019;13.661
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2018;13.440
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2017;10.875
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2016;10.317
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2015;9.076
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2014;7.777
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2013;7.159
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2012;8.041
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2011;9.142
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2010;11.497
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2009;11.474
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2008;16.589
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2007;22.951
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2025;5.266
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2024;4.319
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2023;3.592
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2022;3.974
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2021;4.192
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2020;2.550
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2019;3.466
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2018;3.136
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2017;2.714
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2016;2.876
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2015;2.701
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2014;3.338
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2013;3.689
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2012;4.599
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2011;5.204
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2010;6.992
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2009;7.579
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2008;11.029
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2007;15.486
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2025;13.272
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2024;12.244
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2023;11.907
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2022;13.810
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2021;12.379
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2020;8.565
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2019;10.195
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2018;10.304
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2017;8.161
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2016;7.441
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2015;6.375
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2014;4.439
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2013;3.470
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2012;3.442
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2011;3.938
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2010;4.505
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2009;3.895
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2008;5.560
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2007;7.465
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2025;16.380
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2024;14.504
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2023;13.218
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2022;15.289
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2021;14.238
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2020;9.435
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2019;11.397
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2018;11.260
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2017;9.143
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2016;8.630
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2015;7.756
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2014;6.681
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2013;5.886
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2012;6.592
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2011;7.323
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2010;9.447
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2009;9.333
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2008;14.236
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2007;19.144
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2025;2.158
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2024;2.059
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2023;2.281
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2022;2.495
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2021;2.333
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2020;1.680
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2019;2.264
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2018;2.180
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2017;1.732
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2016;1.687
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2015;1.320
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2014;1.096
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2013;1.273
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2012;1.449
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2011;1.819
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2010;2.050
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2009;2.141
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2008;2.353
Total Nacional;01 Andalucía;11 Cádiz;Vivienda protegida;2007;3.807
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2025;11.331
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2024;9.468
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2023;8.068
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2022;8.462
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2021;7.678
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2020;5.598
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2019;6.630
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2018;6.528
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2017;5.636
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2016;4.796
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2015;4.445
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2014;3.755
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2013;3.981
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2012;3.940
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2011;4.522
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2010;5.552
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2009;5.481
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2008;8.455
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2007;11.015
Total Nacional;01 Andalucía;14 Córdoba;Vivienda nueva;2025;2.333
Total Nacional;01 Andalucía;14 Córdoba;Vivienda nueva;2024;1.990
Total Nacional;01 Andalucía;14 Córdoba;Vivienda nueva;2023;1.424
Total Nacional;01 Andalucía;14 Córdoba;Vivienda nueva;2022;1.274
Total Nacional;01 Andalucía;14 Córdoba;Vivienda nueva;2021;1.442
Total Nacional;01 Andalucía;14 Córdoba;Vivienda nueva;2020;994
Total Nacional;01 Andalucía;14 Córdoba;Vivienda nueva;2019;1.129
Total Nacional;01 Andalucía;14 Córdoba;Vivienda nueva;2018;968
Total Nacional;01 Andalucía;14 Córdoba;Vivienda nueva;2017;777
Total Nacional;01 Andalucía;14 Córdoba;Vivienda nueva;2016;685
Total Nacional;01 Andalucía;14 Córdoba;Vivienda nueva;2015;881
Total Nacional;01 Andalucía;14 Córdoba;Vivienda nueva;2014;1.124
Total Nacional;01 Andalucía;14 Córdoba;Vivienda nueva;2013;1.678
Total Nacional;01 Andalucía;14 Córdoba;Vivienda nueva;2012;1.623
Total Nacional;01 Andalucía;14 Córdoba;Vivienda nueva;2011;2.023
Total Nacional;01 Andalucía;14 Córdoba;Vivienda nueva;2010;2.627
Total Nacional;01 Andalucía;14 Córdoba;Vivienda nueva;2009;2.855
Total Nacional;01 Andalucía;14 Córdoba;Vivienda nueva;2008;4.633
